State,Date,Total_cases,New_cases,Total_deaths,New_deaths,Active_cases,Cases_per_million,Deaths_per_million,Total_tests,Tests_per_million
New York ,2020-04-27,297224,3233,22612,337,229055,15150,1153,826095,42108
New Jersey ,2020-04-27,111188,2150,6044,106,103873,12519,680,227390,25602
Massachusetts ,2020-04-27,56462,1524,3003,104,45341,8267,440,244887,35854
California ,2020-04-27,45883,1980,1983,50,43294,3579,155,227628,17754
Pennsylvania ,2020-04-27,44949,1408,1776,58,39836,1148,45,526084,13438
Illinois ,2020-04-27,43155,447,1860,37,40603,3374,145,203422,15903
Michigan ,2020-04-27,38210,432,3407,92,26461,3837,342,163213,16391
Florida ,2020-04-27,32138,610,1088,14,30364,1560,53,358127,17386
Louisiana ,2020-04-27,27068,295,1740,11,8025,5804,373,146989,31518
Connecticut ,2020-04-27,25297,316,663,9,14648,907,24,290517,10418
Texas ,2020-04-27,25269,,1924,,23280,7055,537,79811,22284
Georgia ,2020-04-27,24225,744,994,78,23200,2353,97,127169,12350
Maryland ,2020-04-27,19487,906,945,35,17279,3246,157,104976,17486
Ohio,2020-04-27,16325,362,753,25,15452,1402,65,119391,10255
Indiana ,2020-04-27,15961,949,932,119,15015,2405,140,84476,12727
Washington ,2020-04-27,13879,438,706,26,12614,2509,128,63341,11452
Colorado ,2020-04-27,13535,565,458,10,11262,1609,54,80180,9530
Virginia ,2020-04-27,13521,,749,,10965,1854,103,175477,24057
Tennessee ,2020-04-27,9918,251,184,3,5014,1491,28,154402,23215
North Carolina ,2020-04-27,9284,290,328,3,7654,914,32,109920,10824
Missouri ,2020-04-27,7708,269,233,7,7133,7295,221,55885,52891
Rhode Island ,2020-04-27,7234,205,299,16,6388,1188,49,70932,11647
Alabama ,2020-04-27,6716,190,275,,6371,967,40,66543,9579
Arizona ,2020-04-27,6539,121,228,9,6291,1344,47,74162,15245
Mississippi ,2020-04-27,6094,183,229,2,5865,2039,77,63462,21234
Wisconsin ,2020-04-27,6081,170,281,9,3487,1052,49,67392,11663
South Carolina ,2020-04-27,5868,392,127,9,3720,1873,41,38150,12179
Nevada ,2020-04-27,5613,123,177,3,1735,1133,36,50761,10242
Iowa,2020-04-27,4690,88,206,,1837,1605,70,47821,16361
Utah ,2020-04-27,4233,110,41,,3304,1390,13,100195,32901
Kentucky ,2020-04-27,4162,128,125,5,3041,4383,132,19616,20659
District Of Columbia ,2020-04-27,4146,72,213,5,2811,934,48,48799,10990
Delaware ,2020-04-27,3892,51,185,7,3048,5686,270,18416,26904
Oklahoma ,2020-04-27,3816,214,286,14,1688,690,52,61268,11085
Minnesota ,2020-04-27,3358,330,56,,3280,1763,29,23772,12480
Arkansas ,2020-04-27,3296,122,122,2,2671,1133,42,25199,8663
Kansas ,2020-04-27,3280,27,197,2,916,837,50,53012,13530
New Mexico ,2020-04-27,3017,16,50,,1980,1009,17,40457,13528
Oregon ,2020-04-27,2823,97,104,5,2069,1349,50,58803,28103
Nebraska ,2020-04-27,2354,43,92,1,2262,577,23,51198,12543
South Dakota,2020-04-27,2245,33,11,,918,2598,13,15596,18045
Idaho ,2020-04-27,1897,,56,,974,1124,33,19895,11787
New Hampshire ,2020-04-27,1864,,60,,1025,1387,45,19724,14680
West Virginia ,2020-04-27,1063,19,36,2,802,581,20,43039,23531
Maine ,2020-04-27,1023,8,51,1,423,768,38,17807,13360
Vermont ,2020-04-27,942,75,19,2,573,1252,25,22434,29824
North Dakota ,2020-04-27,855,4,47,1,808,1368,75,15073,24118
Hawaii ,2020-04-27,607,1,16,2,98,427,11,29247,20567
Wyoming ,2020-04-27,520,18,7,,170,894,12,8167,14037
Montana ,2020-04-27,449,1,14,,83,431,13,13033,12511
Alaska ,2020-04-27,345,4,9,,118,467,12,16256,22012
