state,mass_gathering_restriction,initual_business_closure,educational_facilities_closure,non-essential_services_closure,stay_at_home_order,travel_severely_limited
Alabama,2020-03-19,2020-03-19,2020-03-19,2020-03-28,2020-04-04,
Alaska,2020-03-24,2020-03-17,2020-03-16,2020-03-28,2020-03-28,
Arizona,2020-03-30,,2020-03-16,,2020-03-30,
Arkansas,2020-03-27,2020-03-19,2020-03-17,,,
California,2020-03-11,2020-03-19,2020-03-19,2020-03-19,2020-03-19,
Colorado,2020-03-19,2020-03-17,2020-03-23,2020-03-26,2020-03-26,
Connecticut,2020-03-12,2020-03-16,2020-03-17,2020-03-23,,
Delaware,2020-03-16,2020-03-16,2020-03-16,2020-03-24,2020-03-24,
District of Columbia,2020-03-13,2020-03-16,2020-03-16,2020-03-25,2020-03-30,
Florida,2020-04-03,2020-03-17,2020-03-17,,2020-04-03,
Georgia,2020-03-24,2020-03-24,2020-03-18,,2020-04-03,
Hawaii,2020-03-17,2020-03-17,2020-03-19,2020-03-25,2020-03-25,
Idaho,2020-03-25,2020-03-25,2020-03-23,2020-03-25,2020-03-25,
Illinois,2020-03-13,2020-03-16,2020-03-17,2020-03-21,2020-03-21,
Indiana,2020-03-12,2020-03-16,2020-03-19,2020-03-24,2020-03-25,
Iowa,2020-03-17,2020-03-17,2020-04-04,2020-03-17,,
Kansas,2020-03-17,,2020-03-17,,2020-03-30,
Kentucky,2020-03-19,2020-03-16,2020-03-20,2020-03-26,,
Louisiana,2020-03-13,2020-03-17,2020-03-16,2020-03-22,2020-03-23,
Maine,2020-03-18,2020-03-18,2020-03-16,2020-03-25,2020-04-02,
Maryland,2020-03-16,2020-03-16,2020-03-16,2020-03-23,2020-03-30,
Massachusetts,2020-03-13,2020-03-17,2020-03-17,2020-03-24,,
Michigan,2020-03-13,2020-03-16,2020-03-16,2020-03-23,2020-03-24,
Minnesota,2020-03-28,2020-03-17,2020-03-18,,2020-03-28,
Mississippi,2020-03-24,2020-03-24,2020-03-19,2020-04-03,2020-04-03,
Missouri,2020-03-23,2020-03-23,2020-03-23,,2020-04-06,
Montana,2020-03-24,2020-03-20,2020-03-15,2020-03-26,2020-03-26,
Nebraska,2020-03-16,2020-03-19,2020-04-02,,,
Nevada,2020-03-24,2020-03-18,2020-03-16,2020-03-21,2020-03-31,
New Hampshire,2020-03-16,2020-03-16,2020-03-16,2020-03-28,2020-03-27,
New Jersey,2020-03-16,2020-03-16,2020-03-18,2020-03-21,2020-03-21,
New Mexico,2020-03-12,2020-03-16,2020-03-13,2020-03-24,,
New York,2020-03-12,2020-03-16,2020-03-18,2020-03-22,2020-03-22,
North Carolina,2020-03-14,2020-03-17,2020-03-14,2020-03-30,2020-03-30,
North Dakota,,2020-03-20,2020-03-16,,,
Ohio,2020-03-12,2020-03-15,2020-03-16,2020-03-23,2020-03-23,
Oklahoma,2020-03-24,2020-04-01,2020-03-17,2020-04-01,,
Oregon,2020-03-12,2020-03-17,2020-03-16,,2020-03-23,
Pennsylvania,2020-04-01,2020-03-18,2020-03-17,2020-03-23,2020-04-01,
Rhode Island,2020-03-17,2020-03-17,2020-03-16,,2020-03-28,
South Carolina,2020-03-18,2020-03-18,2020-03-16,,2020-04-07,
South Dakota,2020-04-06,,2020-03-16,,,
Tennessee,2020-03-23,2020-03-23,2020-03-20,2020-04-01,2020-04-02,
Texas,2020-03-21,2020-03-21,2020-03-19,,2020-04-02,
Utah,2020-03-19,2020-03-19,2020-03-16,,,
Vermont,2020-03-13,2020-03-17,2020-03-18,2020-03-25,2020-03-24,
Virginia,2020-03-15,2020-03-17,2020-03-16,2020-03-24,2020-03-30,
Washington,2020-03-11,2020-03-16,2020-03-13,2020-03-25,2020-03-23,
West Virginia,2020-03-24,2020-03-18,2020-03-14,2020-03-24,2020-03-25,
Wisconsin,2020-03-17,2020-03-17,2020-03-18,2020-03-25,2020-03-25,
Wyoming,2020-03-20,2020-03-19,2020-03-19,,,
