,state,Mass Gathering Restriction,Initual Business Closure,Educational Facilities Closure,Non-Essential Services Closure,Stay at Home Order,Travel severely limited
0,Alabama,"March 19, 2020","March 19, 2020","March 19, 2020","March 28, 2020","April 4, 2020",Not implemented
1,Alaska,"March 24, 2020","March 17, 2020","March 16, 2020","March 28, 2020","March 28, 2020",Not implemented
2,Arizona,"March 30, 2020",Not implemented,"March 16, 2020",Not implemented,"March 30, 2020",Not implemented
3,Arkansas,"March 27, 2020","March 19, 2020","March 17, 2020",Not implemented,Not implemented,Not implemented
4,California,"March 11, 2020","March 19, 2020","March 19, 2020","March 19, 2020","March 19, 2020",Not implemented
5,Colorado,"March 19, 2020","March 17, 2020","March 23, 2020","March 26, 2020","March 26, 2020",Not implemented
6,Connecticut,"March 12, 2020","March 16, 2020","March 17, 2020","March 23, 2020",Not implemented,Not implemented
7,Delaware,"March 16, 2020","March 16, 2020","March 16, 2020","March 24, 2020","March 24, 2020",Not implemented
8,Florida,"April 3, 2020","March 17, 2020","March 17, 2020",Not implemented,"April 3, 2020",Not implemented
9,Georgia,"March 24, 2020","March 24, 2020","March 18, 2020",Not implemented,"April 3, 2020",Not implemented
10,Hawaii,"March 17, 2020","March 17, 2020","March 19, 2020","March 25, 2020","March 25, 2020",Not implemented
11,Idaho,"March 25, 2020","March 25, 2020","March 23, 2020","March 25, 2020","March 25, 2020",Not implemented
12,Illinois,"March 13, 2020","March 16, 2020","March 17, 2020","March 21, 2020","March 21, 2020",Not implemented
13,Indiana,"March 12, 2020","March 16, 2020","March 19, 2020","March 24, 2020","March 25, 2020",Not implemented
14,Iowa,"March 17, 2020","March 17, 2020","April 4, 2020",Not implemented,Not implemented,Not implemented
15,Kansas,"March 17, 2020",Not implemented,"March 17, 2020",Not implemented,"March 30, 2020",Not implemented
16,Kentucky,"March 19, 2020","March 16, 2020","March 20, 2020","March 26, 2020",Not implemented,Not implemented
17,Louisiana,"March 13, 2020","March 17, 2020","March 16, 2020","March 22, 2020","March 23, 2020",Not implemented
18,Maine,"March 18, 2020","March 18, 2020","March 16, 2020","March 25, 2020","April 2, 2020",Not implemented
19,Maryland,"March 16, 2020","March 16, 2020","March 16, 2020","March 23, 2020","March 30, 2020",Not implemented
20,Massachusetts,"March 13, 2020","March 17, 2020","March 17, 2020","March 24, 2020",Not implemented,Not implemented
21,Michigan,"March 13, 2020","March 16, 2020","March 16, 2020","March 23, 2020","March 24, 2020",Not implemented
22,Minnesota,"March 24, 2020","March 17, 2020","March 18, 2020",Not implemented,"March 27, 2020",Not implemented
23,Mississippi,"March 24, 2020","March 24, 2020","March 19, 2020","April 3, 2020","April 3, 2020",Not implemented
24,Missouri,"March 23, 2020","March 23, 2020","March 23, 2020",Not implemented,"April 6, 2020",Not implemented
25,Montana,"March 24, 2020","March 20, 2020","March 15, 2020","March 26, 2020","March 26, 2020",Not implemented
26,Nebraska,"March 16, 2020","March 19, 2020","April 2, 2020",Not implemented,Not implemented,Not implemented
27,Nevada,"March 24, 2020","March 18, 2020","March 16, 2020","March 21, 2020","March 31, 2020",Not implemented
28,New Hampshire,"March 16, 2020","March 16, 2020","March 16, 2020","March 28, 2020","March 27, 2020",Not implemented
29,New Jersey,"March 16, 2020","March 16, 2020","March 18, 2020","March 21, 2020","March 21, 2020",Not implemented
30,New Mexico,"March 12, 2020","March 16, 2020","March 13, 2020","March 24, 2020",Not implemented,Not implemented
31,New York,"March 12, 2020","March 16, 2020","March 18, 2020","March 22, 2020","March 22, 2020",Not implemented
32,North Carolina,"March 14, 2020","March 17, 2020","March 14, 2020","March 30, 2020","March 30, 2020",Not implemented
33,North Dakota,Not implemented,"March 20, 2020","March 16, 2020",Not implemented,Not implemented,Not implemented
34,Ohio,"March 12, 2020","March 15, 2020","March 16, 2020","March 23, 2020","March 23, 2020",Not implemented
35,Oklahoma,"March 24, 2020","April 1, 2020","March 17, 2020","April 1, 2020",Not implemented,Not implemented
36,Oregon,"March 12, 2020","March 17, 2020","March 16, 2020",Not implemented,"March 23, 2020",Not implemented
37,Pennsylvania,"April 1, 2020","March 18, 2020","March 17, 2020","March 23, 2020","April 1, 2020",Not implemented
38,Rhode Island,"March 17, 2020","March 17, 2020","March 16, 2020",Not implemented,"March 28, 2020",Not implemented
39,South Carolina,"March 18, 2020","March 18, 2020","March 16, 2020",Not implemented,"April 7, 2020",Not implemented
40,South Dakota,"April 6, 2020",Not implemented,"March 16, 2020",Not implemented,Not implemented,Not implemented
41,Tennessee,"March 23, 2020","March 23, 2020","March 20, 2020","April 1, 2020","April 2, 2020",Not implemented
42,Texas,"March 21, 2020","March 21, 2020","March 19, 2020",Not implemented,"April 2, 2020",Not implemented
43,Utah,"March 19, 2020","March 19, 2020","March 16, 2020",Not implemented,Not implemented,Not implemented
44,Vermont,"March 13, 2020","March 17, 2020","March 18, 2020","March 25, 2020","March 24, 2020",Not implemented
45,Virginia,"March 15, 2020","March 17, 2020","March 16, 2020","March 24, 2020","March 30, 2020",Not implemented
46,Washington,"March 11, 2020","March 16, 2020","March 13, 2020","March 25, 2020","March 23, 2020",Not implemented
47,West Virginia,"March 24, 2020","March 18, 2020","March 14, 2020","March 24, 2020","March 25, 2020",Not implemented
48,Wisconsin,"March 17, 2020","March 17, 2020","March 18, 2020","March 25, 2020","March 25, 2020",Not implemented
49,Wyoming,"March 20, 2020","March 19, 2020","March 19, 2020",Not implemented,Not implemented,Not implemented
